para1,para2,para4,price,loc1_0,loc1_1,loc1_2,loc1_3,loc1_4,loc1_5,loc1_6,loc1_7,loc1_8,loc1_9,dow_Mon,dow_Thu,dow_Tue,dow_Wed
1,719,13.6,825.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,322,5.6,310.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,625,12.8,293.33,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,663,8.0,450.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,624,13.6,950.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1148,13.2,1500.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,349,13.6,460.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,332,7.0,175.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,514,13.6,730.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,693,6.4,400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,554,13.6,670.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,155,13.6,250.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,236,8.8,380.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,707,13.6,780.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,629,13.6,770.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,725,13.6,1180.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,685,13.6,795.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,170,2.0,133.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,144,6.8,180.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,198,10.8,560.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,290,3.6,220.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,562,4.5,233.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,424,13.6,500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,477,6.8,126.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,435,10.0,340.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,688,8.7,360.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,460,5.6,295.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,340,3.0,300.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,603,1.6,296.67,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,550,8.8,641.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,458,13.6,600.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,461,7.0,650.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,769,5.4,360.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,405,2.8,230.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,375,6.0,350.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,103,4.4,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,357,5.6,183.33,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,548,4.6,250.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,476,7.2,570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,635,13.6,750.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,558,5.6,400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,496,6.4,185.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,363,2.8,200.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,267,13.6,350.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,193,13.6,275.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,779,8.0,495.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,245,13.6,490.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,329,13.6,400.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,508,13.6,630.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,491,2.0,270.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,636,5.6,365.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,534,13.6,600.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,466,12.8,820.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,474,4.4,175.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,315,13.6,200.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,571,13.6,750.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,331,12.4,300.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,515,13.6,650.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,231,3.4,250.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,66,6.4,200.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3,447,13.6,750.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,410,6.8,556.84,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,843,6.4,610.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,253,6.8,225.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,637,13.6,925.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,638,2.0,430.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,169,1.6,280.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,563,3.6,290.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,256,13.6,320.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,376,3.0,180.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,216,8.4,200.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,309,13.6,250.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,561,6.0,375.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,323,5.2,275.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,407,2.4,350.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,736,13.6,780.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,537,4.95,246.67,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,500,6.8,340.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,328,13.6,420.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,155,13.6,200.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,378,8.0,490.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,363,13.6,500.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,461,1.6,187.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,625,17.2,197.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,825,11.2,800.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,99,10.4,275.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,336,13.6,450.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,215,13.6,670.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,195,7.0,250.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,809,3.2,297.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,460,13.6,550.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,103,13.6,150.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,412,13.6,550.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,350,7.0,250.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,350,3.2,206.67,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,569,6.8,375.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,588,3.6,273.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,473,3.6,400.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,554,13.6,680.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,579,13.6,700.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,407,6.8,520.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,151,5.1,233.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,682,13.6,780.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,338,1.6,173.33,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,724,13.6,860.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,257,4.0,80.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,270,8.9,280.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,322,13.6,430.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,501,13.6,650.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,202,13.6,275.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,572,2.0,220.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,151,11.2,315.31,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,509,4.5,400.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,586,2.4,93.07,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,572,2.0,212.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,348,1.2,170.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,648,2.4,400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,544,6.8,450.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,265,7.0,180.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,90,3.0,100.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,156,13.6,350.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,315,13.6,400.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,407,6.8,300.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,482,13.6,326.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,475,3.4,263.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,602,5.0,275.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,301,2.0,200.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,591,10.4,365.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,402,13.6,235.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,233,13.6,275.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,573,3.2,230.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,328,3.2,150.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,209,12.8,460.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,562,4.0,210.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,333,13.6,270.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,420,13.6,494.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,156,3.5,170.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,698,13.6,845.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,401,3.0,180.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,408,4.33,186.67,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,383,6.8,315.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3,678,13.6,750.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,322,5.6,241.42,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,538,13.6,745.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,134,6.8,190.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,604,3.2,236.86,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,1194,9.0,800.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,714,13.0,840.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,805,13.6,900.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,596,13.6,730.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,743,6.0,925.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,823,6.8,490.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,151,6.8,234.21,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,350,6.0,320.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,236,4.8,155.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,555,13.6,630.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,144,10.2,291.95,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,434,5.2,203.33,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,530,4.5,266.67,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,427,10.0,510.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,509,13.6,700.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,199,12.4,350.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,289,2.0,153.33,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,35,10.0,160.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,297,21.6,225.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,830,1.2,366.67,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,344,3.67,200.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,281,5.0,319.32,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,411,2.0,290.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,450,9.6,620.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,25,13.6,1450.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,446,13.6,650.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,500,2.0,240.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,561,4.0,296.67,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,306,13.6,390.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,627,3.5,370.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,1341,13.6,1250.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,619,13.6,660.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,347,13.6,340.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,290,13.6,420.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,347,4.5,226.67,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,648,13.6,750.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,369,3.2,200.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,557,2.5,380.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,587,13.6,720.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,349,4.6,300.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,600,6.0,260.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,201,9.3,175.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,564,13.6,1100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,386,6.0,320.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,312,12.0,433.05,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,229,13.6,230.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,574,3.5,300.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,888,13.6,1400.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,489,13.5,690.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,207,6.4,244.75,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,227,13.6,380.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,241,5.6,166.67,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,571,13.6,640.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,583,13.6,590.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,678,6.8,225.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,16,13.6,240.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,181,3.6,230.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,413,13.6,600.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,273,13.6,425.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,271,13.6,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,629,13.6,750.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,524,6.4,475.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,512,1.2,150.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,308,4.8,310.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,554,13.6,750.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,673,13.6,920.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,586,12.8,650.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
